Rk	Player	M	DR	Points	TPW%	TBs	TB W-L	TB W%	TB/S	Sets	Set W-L	S W%	Gms	Game W-L	G W%	Time/Mt	Min/Set	Sec/Pt
1	Rafael Nadal [ESP]	78	1.43	11530	55.7%	23	15-8	65.2%	11.4%	201	162-39	80.6%	1303	860-443	66.0%	1:52	43.5	45.5
2	Roger Federer [SUI]	57	1.42	9385	54.9%	30	21-9	70.0%	19.4%	155	125-30	80.6%	1107	690-417	62.3%	1:38	36.0	35.7
3	Grigor Dimitrov [BUL]	68	1.20	10934	53.0%	27	17-10	63.0%	15.1%	179	121-58	67.6%	1472	831-641	56.5%	1:48	40.9	40.1
4	Alexander Zverev [GER]	77	1.11	12164	52.0%	33	19-14	57.6%	16.6%	199	131-68	65.8%	1689	927-762	54.9%	1:41	39.2	38.5
5	Dominic Thiem [AUT]	74	1.12	11926	51.8%	28	14-14	50.0%	14.5%	193	123-70	63.7%	1418	788-630	55.6%	1:46	40.7	39.5
6	Marin Cilic [CRO]	64	1.23	10425	53.0%	30	16-14	53.3%	17.5%	171	109-62	63.7%	1196	674-522	56.4%	1:50	41.1	40.4
7	David Goffin [BEL]	79	1.13	12367	52.1%	35	20-15	57.1%	17.3%	202	127-75	62.9%	1696	925-771	54.5%	1:43	40.3	39.5
8	Jack Sock [USA]	59	1.04	10060	50.4%	32	22-10	68.8%	20.1%	159	92-67	57.9%	1385	702-683	50.7%	1:50	40.8	38.7
9	Stanislas Wawrinka [SUI]	37	1.08	6438	51.5%	20	14-6	70.0%	19.2%	104	67-37	64.4%	765	417-348	54.5%	1:56	41.3	40.0
10	Pablo Carreno Busta [ESP]	62	1.03	10118	50.8%	26	18-8	69.2%	15.6%	167	97-70	58.1%	1224	642-582	52.5%	1:48	40.0	39.6
11	Juan Martin Del Potro [ARG]	54	1.10	8534	51.3%	25	18-7	72.0%	18.1%	138	88-50	63.8%	1005	540-465	53.7%	1:55	45.0	43.7
12	Novak Djokovic [SRB]	40	1.23	6376	53.8%	16	10-6	62.5%	15.2%	105	77-28	73.3%	726	439-287	60.5%	1:52	42.7	42.2
13	Sam Querrey [USA]	57	1.12	9308	51.8%	28	14-14	50.0%	17.9%	156	92-64	59.0%	1042	574-468	55.1%	1:40	36.6	36.8
14	Kevin Anderson [RSA]	55	1.19	9156	52.4%	36	19-17	52.8%	24.7%	146	88-58	60.3%	928	520-408	56.0%	1:55	43.5	41.6
15	Jo Wilfried Tsonga [FRA]	49	1.24	8017	53.0%	28	15-13	53.6%	21.5%	130	86-44	66.2%	1056	601-455	56.9%	1:46	39.9	38.8
16	Andy Murray [GBR]	35	1.19	6111	53.2%	17	12-5	70.6%	17.2%	99	70-29	70.7%	565	336-229	59.5%	2:12	46.8	45.5
17	John Isner [USA]	60	1.05	10387	50.8%	68	42-26	61.8%	42.8%	159	95-64	59.7%	1387	718-669	51.8%	1:52	42.4	38.9
18	Lucas Pouille [FRA]	55	1.06	9131	51.1%	32	16-16	50.0%	22.1%	145	86-59	59.3%	1063	565-498	53.2%	1:44	39.6	37.7
19	Tomas Berdych [CZE]	53	1.11	8204	51.9%	30	17-13	56.7%	22.1%	136	85-51	62.5%	978	536-442	54.8%	1:41	39.2	39.0
20	Roberto Bautista Agut [ESP]	69	1.17	11064	52.7%	35	19-16	54.3%	19.3%	181	119-62	65.7%	1381	783-598	56.7%	1:51	42.5	41.7
21	Nick Kyrgios [AUS]	46	1.17	6599	52.5%	23	16-7	69.6%	20.5%	112	74-38	66.1%	952	521-431	54.7%	1:32	37.8	38.5
22	Kei Nishikori [JPN]	43	1.12	7465	52.0%	19	9-10	47.4%	15.6%	122	77-45	63.1%	868	487-381	56.1%	2:03	43.5	42.7
23	Albert Ramos [ESP]	65	1.00	11440	50.0%	34	15-19	44.1%	18.9%	180	90-90	50.0%	1398	710-688	50.8%	2:08	46.3	43.7
24	Milos Raonic [CAN]	41	1.21	6466	52.6%	27	16-11	59.3%	25.7%	105	70-35	66.7%	722	407-315	56.4%	1:47	41.7	40.6
25	Gilles Muller [LUX]	50	1.06	7865	50.8%	29	19-10	65.5%	22.5%	129	77-52	59.7%	925	486-439	52.5%	1:46	41.2	40.5
26	Diego Sebastian Schwartzman [ARG]	65	1.09	10267	51.5%	20	8-12	40.0%	12.0%	167	97-70	58.1%	1255	679-576	54.1%	1:48	42.0	41.0
27	Fabio Fognini [ITA]	59	1.00	9636	50.1%	25	15-10	60.0%	16.1%	155	88-67	56.8%	1250	632-618	50.6%	1:47	40.9	39.5
28	Adrian Mannarino [FRA]	66	1.05	10214	50.9%	27	12-15	44.4%	16.1%	168	91-77	54.2%	1308	692-616	52.9%	1:44	40.7	40.2
29	Philipp Kohlschreiber [GER]	51	1.11	8094	51.6%	27	14-13	51.9%	21.1%	128	75-53	58.6%	1103	590-513	53.5%	1:44	41.4	39.3
30	Damir Dzumhur [BIH]	66	1.03	10541	50.7%	19	12-7	63.2%	11.0%	172	100-72	58.1%	1455	755-700	51.9%	1:40	38.4	37.6
31	Richard Gasquet [FRA]	47	1.11	7638	51.7%	17	5-12	29.4%	13.7%	124	72-52	58.1%	1019	563-456	55.3%	1:51	42.3	41.2
32	Pablo Cuevas [URU]	41	1.00	6400	49.9%	21	9-12	42.9%	20.4%	103	49-54	47.6%	895	442-453	49.4%	1:41	40.2	38.9
33	Mischa Zverev [GER]	64	0.97	10425	49.6%	28	11-17	39.3%	16.6%	169	83-86	49.1%	1356	674-682	49.7%	1:40	37.9	36.9
34	Filip Krajinovic [SRB]	18	1.10	2039	52.1%	8	4-4	50.0%	18.2%	44	26-18	59.1%	321	179-142	55.8%	1:12	29.4	38.0
35	Fernando Verdasco [ESP]	54	1.07	8654	51.1%	27	18-9	66.7%	19.3%	140	78-62	55.7%	1122	581-541	51.8%	1:49	42.0	40.7
36	Feliciano Lopez [ESP]	48	0.98	8080	49.7%	31	16-15	51.6%	24.0%	129	65-64	50.4%	1038	517-521	49.8%	1:47	40.0	38.3
37	David Ferrer [ESP]	45	1.04	7759	50.5%	14	5-9	35.7%	11.6%	121	60-61	49.6%	966	493-473	51.0%	1:59	44.1	41.3
38	Alexandr Dolgopolov [UKR]	56	1.03	8312	50.6%	26	18-8	69.2%	18.8%	138	77-61	55.8%	1109	561-548	50.6%	1:32	37.4	37.3
39	Andrey Rublev [RUS]	55	0.98	7522	49.6%	25	13-12	52.0%	17.0%	147	77-70	52.4%	845	412-433	48.8%	1:26	32.3	37.9
40	Yuichi Sugita [JPN]	44	0.99	6250	49.8%	22	12-10	54.5%	20.4%	108	57-51	52.8%	767	382-385	49.8%	1:32	37.3	38.6
41	Benoit Paire [FRA]	62	0.99	9437	50.0%	27	18-9	66.7%	17.9%	151	79-72	52.3%	1213	604-609	49.8%	1:28	36.2	34.8
42	Robin Haase [NED]	56	1.04	9002	50.4%	23	9-14	39.1%	15.9%	145	73-72	50.3%	1285	651-634	50.7%	1:42	39.5	38.1
43	Paolo Lorenzi [ITA]	60	0.95	10026	49.1%	33	16-17	48.5%	20.2%	163	74-89	45.4%	1272	605-667	47.6%	2:04	45.7	44.6
44	Steve Johnson [USA]	52	0.99	8221	50.1%	28	14-14	50.0%	21.1%	133	73-60	54.9%	1028	529-499	51.5%	1:45	41.0	39.8
45	Karen Khachanov [RUS]	52	0.99	8978	49.8%	36	16-20	44.4%	25.9%	139	65-74	46.8%	1073	535-538	49.9%	1:51	41.5	38.6
46	Gael Monfils [FRA]	34	1.08	6023	51.3%	18	9-9	50.0%	18.4%	98	58-40	59.2%	611	336-275	55.0%	1:54	39.5	38.6
47	Ryan Harrison [USA]	47	0.96	7034	49.3%	20	6-14	30.0%	17.4%	115	54-61	47.0%	967	479-488	49.5%	1:38	40.2	39.4
48	Borna Coric [CRO]	53	0.99	8486	50.0%	28	13-15	46.4%	21.1%	133	65-68	48.9%	1101	556-545	50.5%	1:50	44.0	41.4
49	Aljaz Bedene [GBR]	45	1.12	6833	51.5%	18	7-11	38.9%	15.8%	114	63-51	55.3%	856	459-397	53.6%	1:44	41.2	41.2
50	Kyle Edmund [GBR]	64	1.06	10286	51.1%	29	14-15	48.3%	17.2%	169	95-74	56.2%	1358	723-635	53.2%	1:49	41.3	40.7
